nohup: ignoring input
name:3pro,index:0
name:4pro,index:1
name:Dji,index:2
name:dao,index:3
name:ha,index:4
name:3pro,index:0
name:4pro,index:1
name:Dji,index:2
name:dao,index:3
name:ha,index:4
Train: [1][10/1465]	BT 0.056 (0.515)	DT 0.000 (0.100)	loss 0.840 (1.279)	Acc@1 84.375 (66.875)
Train: [2][420/1465]	BT 0.055 (0.059)	DT 0.000 (0.004)	loss 0.016 (0.016)	Acc@1 100.000 (99.539)
Train: [2][430/1465]	BT 0.056 (0.059)	DT 0.000 (0.004)	loss 0.004 (0.016)	Acc@1 100.000 (99.542)
Train: [2][440/1465]	BT 0.057 (0.059)	DT 0.000 (0.004)	loss 0.006 (0.016)	Acc@1 100.000 (99.553)
Train: [2][450/1465]	BT 0.057 (0.059)	DT 0.000 (0.004)	loss 0.017 (0.016)	Acc@1 100.000 (99.549)
Train: [2][460/1465]	BT 0.043 (0.058)	DT 0.000 (0.004)	loss 0.005 (0.016)	Acc@1 100.000 (99.552)
Train: [2][470/1465]	BT 0.043 (0.058)	DT 0.000 (0.004)	loss 0.005 (0.016)	Acc@1 100.000 (99.548)
Train: [2][480/1465]	BT 0.056 (0.058)	DT 0.000 (0.004)	loss 0.004 (0.017)	Acc@1 100.000 (99.525)
Train: [2][490/1465]	BT 0.055 (0.058)	DT 0.000 (0.004)	loss 0.017 (0.017)	Acc@1 100.000 (99.534)
Train: [2][500/1465]	BT 0.055 (0.058)	DT 0.000 (0.004)	loss 0.005 (0.016)	Acc@1 100.000 (99.544)
Train: [2][510/1465]	BT 0.057 (0.058)	DT 0.000 (0.003)	loss 0.005 (0.016)	Acc@1 100.000 (99.547)
Train: [2][520/1465]	BT 0.055 (0.058)	DT 0.000 (0.003)	loss 0.004 (0.016)	Acc@1 100.000 (99.549)
Train: [2][530/1465]	BT 0.056 (0.058)	DT 0.000 (0.003)	loss 0.006 (0.016)	Acc@1 100.000 (99.552)
Train: [2][540/1465]	BT 0.057 (0.058)	DT 0.000 (0.003)	loss 0.004 (0.016)	Acc@1 100.000 (99.554)
Train: [2][550/1465]	BT 0.054 (0.058)	DT 0.000 (0.003)	loss 0.003 (0.016)	Acc@1 100.000 (99.540)
Train: [2][560/1465]	BT 0.055 (0.057)	DT 0.000 (0.003)	loss 0.007 (0.017)	Acc@1 100.000 (99.531)
Train: [2][570/1465]	BT 0.054 (0.057)	DT 0.000 (0.003)	loss 0.015 (0.017)	Acc@1 100.000 (99.534)
Train: [2][580/1465]	BT 0.054 (0.057)	DT 0.000 (0.003)	loss 0.006 (0.017)	Acc@1 100.000 (99.526)
Train: [2][590/1465]	BT 0.056 (0.057)	DT 0.000 (0.003)	loss 0.029 (0.017)	Acc@1 96.875 (99.523)
Train: [2][600/1465]	BT 0.057 (0.057)	DT 0.000 (0.003)	loss 0.017 (0.017)	Acc@1 100.000 (99.526)
Train: [2][610/1465]	BT 0.051 (0.057)	DT 0.000 (0.003)	loss 0.018 (0.017)	Acc@1 100.000 (99.529)
Train: [2][620/1465]	BT 0.056 (0.057)	DT 0.000 (0.003)	loss 0.005 (0.017)	Acc@1 100.000 (99.536)
Train: [2][630/1465]	BT 0.056 (0.057)	DT 0.000 (0.003)	loss 0.005 (0.016)	Acc@1 100.000 (99.539)
Train: [2][640/1465]	BT 0.043 (0.057)	DT 0.000 (0.003)	loss 0.004 (0.016)	Acc@1 100.000 (99.536)
Train: [2][650/1465]	BT 0.055 (0.057)	DT 0.000 (0.003)	loss 0.004 (0.016)	Acc@1 100.000 (99.538)
Train: [2][660/1465]	BT 0.056 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.016)	Acc@1 100.000 (99.541)
Train: [2][670/1465]	BT 0.055 (0.057)	DT 0.000 (0.003)	loss 0.033 (0.016)	Acc@1 96.875 (99.538)
Train: [2][680/1465]	BT 0.052 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.016)	Acc@1 100.000 (99.545)
Train: [2][690/1465]	BT 0.057 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.016)	Acc@1 100.000 (99.543)
Train: [2][700/1465]	BT 0.042 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.016)	Acc@1 100.000 (99.545)
Train: [2][710/1465]	BT 0.056 (0.057)	DT 0.000 (0.003)	loss 0.007 (0.016)	Acc@1 100.000 (99.551)
Train: [2][720/1465]	BT 0.044 (0.057)	DT 0.000 (0.003)	loss 0.005 (0.016)	Acc@1 100.000 (99.549)
Train: [2][730/1465]	BT 0.044 (0.056)	DT 0.000 (0.003)	loss 0.017 (0.016)	Acc@1 100.000 (99.546)
Train: [2][740/1465]	BT 0.043 (0.056)	DT 0.000 (0.002)	loss 0.067 (0.016)	Acc@1 96.875 (99.540)
Train: [2][750/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.012 (0.016)	Acc@1 100.000 (99.542)
Train: [2][760/1465]	BT 0.053 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.539)
Train: [2][770/1465]	BT 0.054 (0.056)	DT 0.000 (0.002)	loss 0.028 (0.016)	Acc@1 96.875 (99.533)
Train: [2][780/1465]	BT 0.044 (0.056)	DT 0.000 (0.002)	loss 0.017 (0.016)	Acc@1 100.000 (99.539)
Train: [2][790/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.545)
Train: [2][800/1465]	BT 0.043 (0.056)	DT 0.000 (0.002)	loss 0.008 (0.016)	Acc@1 100.000 (99.547)
Train: [2][810/1465]	BT 0.057 (0.056)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.552)
Train: [2][820/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.130 (0.016)	Acc@1 96.875 (99.554)
Train: [2][830/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.060 (0.016)	Acc@1 96.875 (99.548)
Train: [2][840/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.546)
Train: [2][850/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.019 (0.016)	Acc@1 100.000 (99.540)
Train: [2][860/1465]	BT 0.052 (0.056)	DT 0.000 (0.002)	loss 0.011 (0.016)	Acc@1 100.000 (99.546)
Train: [2][870/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.010 (0.016)	Acc@1 100.000 (99.551)
Train: [2][880/1465]	BT 0.043 (0.056)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.556)
Train: [2][890/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.014 (0.016)	Acc@1 100.000 (99.551)
Train: [2][900/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.556)
Train: [2][910/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.103 (0.016)	Acc@1 96.875 (99.540)
Train: [2][920/1465]	BT 0.053 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.541)
Train: [2][930/1465]	BT 0.051 (0.056)	DT 0.000 (0.002)	loss 0.007 (0.016)	Acc@1 100.000 (99.543)
Train: [2][940/1465]	BT 0.044 (0.056)	DT 0.000 (0.002)	loss 0.033 (0.016)	Acc@1 100.000 (99.548)
Train: [2][950/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.006 (0.016)	Acc@1 100.000 (99.553)
Train: [2][960/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.007 (0.016)	Acc@1 100.000 (99.557)
Train: [2][970/1465]	BT 0.057 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.552)
Train: [2][980/1465]	BT 0.051 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.554)
Train: [2][990/1465]	BT 0.051 (0.056)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.549)
Train: [2][1000/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.547)
Train: [2][1010/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.009 (0.016)	Acc@1 100.000 (99.548)
Train: [2][1020/1465]	BT 0.044 (0.056)	DT 0.000 (0.002)	loss 0.007 (0.016)	Acc@1 100.000 (99.544)
Train: [2][1030/1465]	BT 0.042 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.545)
Train: [2][1040/1465]	BT 0.056 (0.055)	DT 0.000 (0.002)	loss 0.006 (0.016)	Acc@1 100.000 (99.546)
Train: [2][1050/1465]	BT 0.054 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.545)
Train: [2][1060/1465]	BT 0.051 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.549)
Train: [2][1070/1465]	BT 0.055 (0.055)	DT 0.000 (0.002)	loss 0.006 (0.016)	Acc@1 100.000 (99.547)
Train: [2][1080/1465]	BT 0.057 (0.055)	DT 0.000 (0.002)	loss 0.006 (0.016)	Acc@1 100.000 (99.549)
Train: [2][1090/1465]	BT 0.054 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.553)
Train: [2][1100/1465]	BT 0.052 (0.055)	DT 0.000 (0.002)	loss 0.009 (0.016)	Acc@1 100.000 (99.551)
Train: [2][1110/1465]	BT 0.053 (0.055)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.552)
Train: [2][1120/1465]	BT 0.043 (0.055)	DT 0.000 (0.002)	loss 0.006 (0.016)	Acc@1 100.000 (99.556)
Train: [2][1130/1465]	BT 0.046 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.558)
Train: [2][1140/1465]	BT 0.043 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.556)
Train: [2][1150/1465]	BT 0.055 (0.055)	DT 0.000 (0.002)	loss 0.011 (0.016)	Acc@1 100.000 (99.554)
Train: [2][1160/1465]	BT 0.055 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.553)
Train: [2][1170/1465]	BT 0.043 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.554)
Train: [2][1180/1465]	BT 0.057 (0.055)	DT 0.000 (0.002)	loss 0.007 (0.016)	Acc@1 100.000 (99.555)
Train: [2][1190/1465]	BT 0.056 (0.055)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.559)
Train: [2][1200/1465]	BT 0.057 (0.055)	DT 0.000 (0.002)	loss 0.028 (0.016)	Acc@1 96.875 (99.555)
Train: [2][1210/1465]	BT 0.054 (0.055)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.558)
Train: [2][1220/1465]	BT 0.053 (0.055)	DT 0.000 (0.002)	loss 0.007 (0.016)	Acc@1 100.000 (99.559)
Train: [2][1230/1465]	BT 0.056 (0.055)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.558)
Train: [2][1240/1465]	BT 0.056 (0.055)	DT 0.000 (0.002)	loss 0.010 (0.016)	Acc@1 100.000 (99.559)
Train: [2][1250/1465]	BT 0.052 (0.055)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.562)
Train: [2][1260/1465]	BT 0.052 (0.055)	DT 0.000 (0.002)	loss 0.004 (0.016)	Acc@1 100.000 (99.561)
Train: [2][1270/1465]	BT 0.053 (0.055)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.560)
Train: [2][1280/1465]	BT 0.055 (0.055)	DT 0.000 (0.002)	loss 0.005 (0.016)	Acc@1 100.000 (99.561)
Train: [2][1290/1465]	BT 0.057 (0.055)	DT 0.000 (0.002)	loss 0.003 (0.016)	Acc@1 100.000 (99.562)
Train: [2][1300/1465]	BT 0.054 (0.055)	DT 0.000 (0.002)	loss 0.007 (0.016)	Acc@1 100.000 (99.565)
Train: [2][1310/1465]	BT 0.051 (0.055)	DT 0.000 (0.001)	loss 0.003 (0.015)	Acc@1 100.000 (99.563)
Train: [2][1320/1465]	BT 0.054 (0.055)	DT 0.000 (0.001)	loss 0.003 (0.015)	Acc@1 100.000 (99.567)
Train: [2][1330/1465]	BT 0.055 (0.055)	DT 0.000 (0.001)	loss 0.004 (0.015)	Acc@1 100.000 (99.568)
Train: [2][1340/1465]	BT 0.056 (0.055)	DT 0.000 (0.001)	loss 0.004 (0.016)	Acc@1 100.000 (99.564)
Train: [2][1350/1465]	BT 0.054 (0.055)	DT 0.000 (0.001)	loss 0.044 (0.016)	Acc@1 96.875 (99.565)
Train: [2][1360/1465]	BT 0.043 (0.055)	DT 0.000 (0.001)	loss 0.003 (0.015)	Acc@1 100.000 (99.566)
Train: [2][1370/1465]	BT 0.056 (0.055)	DT 0.000 (0.001)	loss 0.003 (0.015)	Acc@1 100.000 (99.567)
Train: [2][1380/1465]	BT 0.056 (0.055)	DT 0.000 (0.001)	loss 0.004 (0.015)	Acc@1 100.000 (99.567)
Train: [2][1390/1465]	BT 0.043 (0.055)	DT 0.000 (0.001)	loss 0.007 (0.015)	Acc@1 100.000 (99.566)
Train: [2][1400/1465]	BT 0.051 (0.055)	DT 0.000 (0.001)	loss 0.004 (0.015)	Acc@1 100.000 (99.567)
Train: [2][1410/1465]	BT 0.056 (0.055)	DT 0.000 (0.001)	loss 0.004 (0.015)	Acc@1 100.000 (99.568)
Train: [2][1420/1465]	BT 0.056 (0.055)	DT 0.000 (0.001)	loss 0.007 (0.015)	Acc@1 100.000 (99.571)
Train: [2][1430/1465]	BT 0.056 (0.055)	DT 0.000 (0.001)	loss 0.004 (0.015)	Acc@1 100.000 (99.569)
Train: [2][1440/1465]	BT 0.045 (0.055)	DT 0.000 (0.001)	loss 0.094 (0.015)	Acc@1 96.875 (99.568)
Train: [2][1450/1465]	BT 0.044 (0.055)	DT 0.000 (0.001)	loss 0.004 (0.015)	Acc@1 100.000 (99.565)
Train: [2][1460/1465]	BT 0.044 (0.055)	DT 0.000 (0.001)	loss 0.006 (0.015)	Acc@1 100.000 (99.565)
Train epoch 2, total time 80.33, accuracy:99.57
Test: [0/184]	Time 1.224 (1.224)	Loss 0.0012 (0.0012)	Acc@1 100.000 (100.000)
Test: [10/184]	Time 0.081 (0.191)	Loss 0.5156 (0.1681)	Acc@1 84.375 (94.318)
Test: [20/184]	Time 0.081 (0.140)	Loss 0.0011 (1.0257)	Acc@1 100.000 (74.628)
Test: [30/184]	Time 0.082 (0.122)	Loss 0.0008 (0.7096)	Acc@1 100.000 (82.510)
Test: [40/184]	Time 0.082 (0.112)	Loss 0.1690 (0.5660)	Acc@1 96.875 (86.090)
Test: [50/184]	Time 0.082 (0.107)	Loss 0.0013 (0.4643)	Acc@1 100.000 (88.634)
Test: [60/184]	Time 0.082 (0.103)	Loss 0.0816 (0.3937)	Acc@1 98.438 (90.369)
Test: [70/184]	Time 0.081 (0.100)	Loss 0.0017 (0.3409)	Acc@1 100.000 (91.681)
Test: [80/184]	Time 0.089 (0.098)	Loss 0.0013 (0.3009)	Acc@1 100.000 (92.670)
Test: [90/184]	Time 0.082 (0.096)	Loss 0.0076 (0.2747)	Acc@1 100.000 (93.338)
Test: [100/184]	Time 0.082 (0.095)	Loss 0.0663 (0.2489)	Acc@1 98.438 (93.951)
Test: [110/184]	Time 0.082 (0.094)	Loss 0.0009 (0.2268)	Acc@1 100.000 (94.496)
Test: [120/184]	Time 0.081 (0.093)	Loss 0.0187 (0.2129)	Acc@1 100.000 (94.873)
Test: [130/184]	Time 0.081 (0.092)	Loss 0.1182 (0.2019)	Acc@1 95.312 (95.062)
Test: [140/184]	Time 0.085 (0.091)	Loss 0.0947 (0.1930)	Acc@1 96.875 (95.324)
Test: [150/184]	Time 0.085 (0.091)	Loss 0.1304 (0.1941)	Acc@1 96.875 (95.354)
Test: [160/184]	Time 0.081 (0.090)	Loss 0.0353 (0.1846)	Acc@1 98.438 (95.594)
Test: [170/184]	Time 0.081 (0.090)	Loss 0.0642 (0.1788)	Acc@1 96.875 (95.724)
Test: [180/184]	Time 0.083 (0.089)	Loss 0.1445 (0.1707)	Acc@1 96.875 (95.925)
 * Acc@1 95.964
epoch 2: Best model saved to save/SecondStage/sp_models/best_classifier.pth
Train: [3][10/1465]	BT 0.046 (0.189)	DT 0.000 (0.136)	loss 0.144 (0.020)	Acc@1 96.875 (99.688)
Train: [3][20/1465]	BT 0.057 (0.121)	DT 0.000 (0.068)	loss 0.003 (0.023)	Acc@1 100.000 (99.219)
Train: [3][30/1465]	BT 0.054 (0.100)	DT 0.000 (0.046)	loss 0.005 (0.017)	Acc@1 100.000 (99.479)
Train: [3][40/1465]	BT 0.059 (0.089)	DT 0.000 (0.034)	loss 0.008 (0.015)	Acc@1 100.000 (99.531)
Train: [3][50/1465]	BT 0.048 (0.082)	DT 0.000 (0.027)	loss 0.174 (0.017)	Acc@1 93.750 (99.438)
Train: [3][60/1465]	BT 0.045 (0.077)	DT 0.000 (0.023)	loss 0.002 (0.014)	Acc@1 100.000 (99.531)
Train: [3][70/1465]	BT 0.059 (0.074)	DT 0.000 (0.020)	loss 0.004 (0.014)	Acc@1 100.000 (99.554)
Train: [3][80/1465]	BT 0.059 (0.071)	DT 0.000 (0.017)	loss 0.003 (0.014)	Acc@1 100.000 (99.570)
Train: [3][90/1465]	BT 0.059 (0.069)	DT 0.000 (0.015)	loss 0.006 (0.013)	Acc@1 100.000 (99.618)
Train: [3][100/1465]	BT 0.060 (0.068)	DT 0.000 (0.014)	loss 0.004 (0.012)	Acc@1 100.000 (99.656)
Train: [3][110/1465]	BT 0.060 (0.067)	DT 0.000 (0.013)	loss 0.004 (0.012)	Acc@1 100.000 (99.659)
Train: [3][120/1465]	BT 0.054 (0.065)	DT 0.000 (0.012)	loss 0.002 (0.013)	Acc@1 100.000 (99.609)
Train: [3][130/1465]	BT 0.059 (0.065)	DT 0.000 (0.011)	loss 0.002 (0.014)	Acc@1 100.000 (99.591)
Train: [3][140/1465]	BT 0.056 (0.064)	DT 0.000 (0.010)	loss 0.015 (0.014)	Acc@1 100.000 (99.598)
Train: [3][150/1465]	BT 0.058 (0.063)	DT 0.000 (0.009)	loss 0.003 (0.014)	Acc@1 100.000 (99.604)
Train: [3][160/1465]	BT 0.052 (0.063)	DT 0.000 (0.009)	loss 0.004 (0.013)	Acc@1 100.000 (99.629)
Train: [3][170/1465]	BT 0.043 (0.062)	DT 0.000 (0.008)	loss 0.003 (0.014)	Acc@1 100.000 (99.632)
Train: [3][180/1465]	BT 0.059 (0.062)	DT 0.000 (0.008)	loss 0.004 (0.013)	Acc@1 100.000 (99.653)
Train: [3][190/1465]	BT 0.056 (0.061)	DT 0.000 (0.007)	loss 0.003 (0.013)	Acc@1 100.000 (99.671)
Train: [3][200/1465]	BT 0.044 (0.061)	DT 0.000 (0.007)	loss 0.004 (0.013)	Acc@1 100.000 (99.672)
Train: [3][210/1465]	BT 0.059 (0.060)	DT 0.000 (0.007)	loss 0.005 (0.013)	Acc@1 100.000 (99.643)
Train: [3][220/1465]	BT 0.055 (0.060)	DT 0.000 (0.006)	loss 0.009 (0.013)	Acc@1 100.000 (99.645)
Train: [3][230/1465]	BT 0.054 (0.060)	DT 0.000 (0.006)	loss 0.002 (0.013)	Acc@1 100.000 (99.647)
Train: [3][240/1465]	BT 0.060 (0.060)	DT 0.000 (0.006)	loss 0.004 (0.013)	Acc@1 100.000 (99.661)
Train: [3][250/1465]	BT 0.059 (0.060)	DT 0.000 (0.006)	loss 0.004 (0.014)	Acc@1 100.000 (99.638)
Train: [3][260/1465]	BT 0.042 (0.059)	DT 0.000 (0.005)	loss 0.006 (0.013)	Acc@1 100.000 (99.651)
Train: [3][270/1465]	BT 0.059 (0.059)	DT 0.000 (0.005)	loss 0.003 (0.013)	Acc@1 100.000 (99.653)
Train: [3][280/1465]	BT 0.060 (0.059)	DT 0.000 (0.005)	loss 0.004 (0.014)	Acc@1 100.000 (99.621)
Train: [3][290/1465]	BT 0.055 (0.059)	DT 0.000 (0.005)	loss 0.003 (0.014)	Acc@1 100.000 (99.612)
Train: [3][300/1465]	BT 0.053 (0.059)	DT 0.000 (0.005)	loss 0.005 (0.014)	Acc@1 100.000 (99.625)
Train: [3][310/1465]	BT 0.057 (0.059)	DT 0.000 (0.005)	loss 0.006 (0.014)	Acc@1 100.000 (99.637)
Train: [3][320/1465]	BT 0.054 (0.058)	DT 0.000 (0.004)	loss 0.005 (0.014)	Acc@1 100.000 (99.629)
Train: [3][330/1465]	BT 0.053 (0.058)	DT 0.000 (0.004)	loss 0.003 (0.014)	Acc@1 100.000 (99.631)
Train: [3][340/1465]	BT 0.060 (0.058)	DT 0.000 (0.004)	loss 0.003 (0.014)	Acc@1 100.000 (99.632)
Train: [3][350/1465]	BT 0.056 (0.058)	DT 0.000 (0.004)	loss 0.005 (0.014)	Acc@1 100.000 (99.616)
Train: [3][360/1465]	BT 0.043 (0.058)	DT 0.000 (0.004)	loss 0.003 (0.014)	Acc@1 100.000 (99.609)
Train: [3][370/1465]	BT 0.054 (0.058)	DT 0.000 (0.004)	loss 0.003 (0.014)	Acc@1 100.000 (99.586)
Train: [3][380/1465]	BT 0.053 (0.058)	DT 0.000 (0.004)	loss 0.003 (0.014)	Acc@1 100.000 (99.581)
Train: [3][390/1465]	BT 0.049 (0.058)	DT 0.000 (0.004)	loss 0.003 (0.014)	Acc@1 100.000 (99.583)
Train: [3][400/1465]	BT 0.059 (0.058)	DT 0.000 (0.004)	loss 0.005 (0.014)	Acc@1 100.000 (99.578)
Train: [3][410/1465]	BT 0.042 (0.057)	DT 0.000 (0.004)	loss 0.073 (0.014)	Acc@1 96.875 (99.573)
Train: [3][420/1465]	BT 0.054 (0.057)	DT 0.000 (0.003)	loss 0.033 (0.014)	Acc@1 96.875 (99.568)
Train: [3][430/1465]	BT 0.058 (0.057)	DT 0.000 (0.003)	loss 0.004 (0.014)	Acc@1 100.000 (99.578)
Train: [3][440/1465]	BT 0.054 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.014)	Acc@1 100.000 (99.588)
Train: [3][450/1465]	BT 0.057 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.014)	Acc@1 100.000 (99.590)
Train: [3][460/1465]	BT 0.054 (0.057)	DT 0.000 (0.003)	loss 0.002 (0.014)	Acc@1 100.000 (99.592)
Train: [3][470/1465]	BT 0.054 (0.057)	DT 0.000 (0.003)	loss 0.005 (0.013)	Acc@1 100.000 (99.601)
Train: [3][480/1465]	BT 0.051 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.013)	Acc@1 100.000 (99.603)
Train: [3][490/1465]	BT 0.057 (0.057)	DT 0.000 (0.003)	loss 0.010 (0.013)	Acc@1 100.000 (99.611)
Train: [3][500/1465]	BT 0.058 (0.057)	DT 0.000 (0.003)	loss 0.020 (0.014)	Acc@1 100.000 (99.600)
Train: [3][510/1465]	BT 0.044 (0.057)	DT 0.000 (0.003)	loss 0.002 (0.013)	Acc@1 100.000 (99.608)
Train: [3][520/1465]	BT 0.060 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.013)	Acc@1 100.000 (99.615)
Train: [3][530/1465]	BT 0.055 (0.057)	DT 0.000 (0.003)	loss 0.002 (0.013)	Acc@1 100.000 (99.617)
Train: [3][540/1465]	BT 0.057 (0.057)	DT 0.000 (0.003)	loss 0.004 (0.013)	Acc@1 100.000 (99.624)
Train: [3][550/1465]	BT 0.055 (0.057)	DT 0.000 (0.003)	loss 0.004 (0.013)	Acc@1 100.000 (99.631)
Train: [3][560/1465]	BT 0.057 (0.057)	DT 0.000 (0.003)	loss 0.068 (0.013)	Acc@1 96.875 (99.632)
Train: [3][570/1465]	BT 0.052 (0.057)	DT 0.000 (0.003)	loss 0.007 (0.013)	Acc@1 100.000 (99.633)
Train: [3][580/1465]	BT 0.046 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.013)	Acc@1 100.000 (99.634)
Train: [3][590/1465]	BT 0.055 (0.057)	DT 0.000 (0.003)	loss 0.017 (0.013)	Acc@1 100.000 (99.640)
Train: [3][600/1465]	BT 0.054 (0.057)	DT 0.000 (0.003)	loss 0.003 (0.012)	Acc@1 100.000 (99.646)
Train: [3][610/1465]	BT 0.060 (0.057)	DT 0.000 (0.002)	loss 0.004 (0.012)	Acc@1 100.000 (99.647)
Train: [3][620/1465]	BT 0.057 (0.057)	DT 0.000 (0.002)	loss 0.004 (0.013)	Acc@1 100.000 (99.632)
Train: [3][630/1465]	BT 0.051 (0.057)	DT 0.000 (0.002)	loss 0.006 (0.013)	Acc@1 100.000 (99.628)
Train: [3][640/1465]	BT 0.058 (0.057)	DT 0.000 (0.002)	loss 0.005 (0.013)	Acc@1 100.000 (99.629)
Train: [3][650/1465]	BT 0.052 (0.057)	DT 0.000 (0.002)	loss 0.007 (0.013)	Acc@1 100.000 (99.625)
Train: [3][660/1465]	BT 0.056 (0.057)	DT 0.000 (0.002)	loss 0.004 (0.013)	Acc@1 100.000 (99.626)
Train: [3][670/1465]	BT 0.057 (0.057)	DT 0.000 (0.002)	loss 0.003 (0.013)	Acc@1 100.000 (99.627)
Train: [3][680/1465]	BT 0.060 (0.057)	DT 0.000 (0.002)	loss 0.003 (0.013)	Acc@1 100.000 (99.623)
Train: [3][690/1465]	BT 0.057 (0.057)	DT 0.000 (0.002)	loss 0.003 (0.013)	Acc@1 100.000 (99.624)
Train: [3][700/1465]	BT 0.054 (0.057)	DT 0.000 (0.002)	loss 0.003 (0.014)	Acc@1 100.000 (99.621)
Train: [3][710/1465]	BT 0.059 (0.057)	DT 0.000 (0.002)	loss 0.005 (0.014)	Acc@1 100.000 (99.617)
Train: [3][720/1465]	BT 0.053 (0.057)	DT 0.000 (0.002)	loss 0.003 (0.013)	Acc@1 100.000 (99.622)
Train: [3][730/1465]	BT 0.055 (0.057)	DT 0.000 (0.002)	loss 0.003 (0.014)	Acc@1 100.000 (99.623)
Train: [3][740/1465]	BT 0.060 (0.057)	DT 0.000 (0.002)	loss 0.006 (0.013)	Acc@1 100.000 (99.628)
Train: [3][750/1465]	BT 0.056 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.013)	Acc@1 100.000 (99.629)
Train: [3][760/1465]	BT 0.057 (0.056)	DT 0.000 (0.002)	loss 0.008 (0.013)	Acc@1 100.000 (99.630)
Train: [3][770/1465]	BT 0.050 (0.056)	DT 0.000 (0.002)	loss 0.050 (0.013)	Acc@1 96.875 (99.631)
Train: [3][780/1465]	BT 0.054 (0.056)	DT 0.000 (0.002)	loss 0.003 (0.013)	Acc@1 100.000 (99.627)
Train: [3][790/1465]	BT 0.059 (0.056)	DT 0.000 (0.002)	loss 0.006 (0.013)	Acc@1 100.000 (99.628)
Train: [3][800/1465]	BT 0.042 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.013)	Acc@1 100.000 (99.625)
Train: [3][810/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.006 (0.013)	Acc@1 100.000 (99.626)
Train: [3][820/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.013)	Acc@1 100.000 (99.630)
Train: [3][830/1465]	BT 0.055 (0.056)	DT 0.000 (0.002)	loss 0.008 (0.013)	Acc@1 100.000 (99.631)
Train: [3][840/1465]	BT 0.060 (0.056)	DT 0.000 (0.002)	loss 0.004 (0.013)	Acc@1 100.000 (99.628)
